,Ticker,Industry,IPO_date,IPO_Price,d1Open,ATH,ATH_Date,ATL,ATL_Date,Days_to_ATH,Days_to_ATL,Low_Before_ATH
VEL,VEL,Mortgage Finance,17-Jan-20,$13.00,13.850000381469727,14.899999618530273,2020-02-20,2.240000009536743,2020-04-03,34.0,77.0,13.170000076293945
IMAB,IMAB,Biotechnology,17-Jan-20,$14.00,14.75,59.13999938964844,2021-01-08,9.300000190734863,2020-02-04,357.0,18.0,9.300000190734863
DNK,DNK,Real Estate Services,17-Jan-20,$13.50,13.5,13.899999618530273,2020-02-06,1.2699999809265137,2020-11-04,20.0,292.0,12.010000228881836
LIZI,LIZI,Internet Content & Information,17-Jan-20,$11.00,11.029999732971191,15.25,2020-01-17,1.9500000476837158,2020-10-30,0.0,287.0,11.010000228881836
SCVX,SCVX,Shell Companies,24-Jan-20,$10.00,9.399999618530273,12.369999885559082,2020-07-23,9.199999809265137,2020-03-20,125.0,0.0,9.199999809265137
GHIV,GHIV,Shell Companies,24-Jan-20,$10.00,9.300000190734863,14.380000114440918,2020-12-28,9.300000190734863,2020-03-25,278.0,0.0,9.300000190734863
ANVS,ANVS,Biotechnology,29-Jan-20,$6.00,6.630000114440918,10.609999656677246,2020-01-29,2.4200000762939453,2020-03-23,0.0,54.0,6.510000228881836
BDTX,BDTX,Biotechnology,30-Jan-20,$19.00,37.040000915527344,46.25,2020-06-03,17.6299991607666,2020-03-18,124.0,47.0,17.6299991607666
ANPC,ANPC,Biotechnology,30-Jan-20,$12.00,10.989999771118164,12.0,2020-02-27,3.1500000953674316,2020-10-05,27.0,248.0,8.859999656677246
REYN,REYN,Packaging & Containers,31-Jan-20,$26.00,27.5,36.0,2020-06-05,21.610000610351562,2020-03-16,126.0,45.0,21.610000610351562
ONEM,ONEM,Health Information Services,31-Jan-20,$14.00,18.0,44.869998931884766,2020-07-13,15.0,2020-03-19,164.0,48.0,15.0
ARQT,ARQT,Biotechnology,31-Jan-20,$17.00,23.059999465942383,40.880001068115234,2020-03-20,17.100000381469727,2020-03-16,49.0,45.0,17.100000381469727
CSPR,CSPR,"Furnishings, Fixtures & Appliances",06-Feb-20,$12.00,14.5,15.850000381469727,2020-02-06,3.1500000953674316,2020-03-19,0.0,42.0,13.25
SDGR,SDGR,Health Information Services,06-Feb-20,$17.00,26.0,99.5,2020-07-06,25.5,2020-02-06,151.0,0.0,25.5
BEAM,BEAM,Biotechnology,06-Feb-20,$17.00,24.0,122.80999755859375,2021-01-15,13.0,2020-03-16,344.0,39.0,13.0
PPD,PPD,Drug Manufacturers—Specialty & Generic,06-Feb-20,$27.00,30.989999771118164,37.5099983215332,2020-10-13,10.609999656677246,2020-03-18,250.0,41.0,10.609999656677246
ONEW,ONEW,Recreational Vehicles,07-Feb-20,$12.00,15.020000457763672,35.9900016784668,2021-01-14,3.4100000858306885,2020-03-18,342.0,40.0,3.4100000858306885
NREF,NREF,REIT—Diversified,07-Feb-20,$19.00,19.0,20.469999313354492,2020-12-07,6.340000152587891,2020-03-24,304.0,46.0,6.340000152587891
PFHD,PFHD,Banks—Regional,07-Feb-20,$18.50,19.309999465942383,20.6299991607666,2020-02-11,9.628000259399414,2020-07-27,4.0,171.0,19.18000030517578
CCAC,CCAC,Shell Companies,11-Feb-20,$10.00,9.75,11.1899995803833,2021-01-14,9.510000228881836,2020-05-22,266.0,29.0,9.510000228881836
GNRS,GNRS,Shell Companies,11-Feb-20,$10.00,9.609999656677246,11.199999809265137,2021-01-15,9.609999656677246,2020-05-21,239.0,0.0,9.609999656677246
HUIZ,HUIZ,Insurance Brokers,12-Feb-20,$10.50,10.75,14.800000190734863,2020-03-03,4.829999923706055,2020-04-13,20.0,61.0,9.600000381469727
RVMD,RVMD,Biotechnology,13-Feb-20,$17.00,28.209999084472656,47.83000183105469,2020-12-16,17.344999313354492,2020-03-17,307.0,33.0,17.344999313354492
GRIL,GRIL,Restaurants,13-Feb-20,$5.00,4.697999954223633,5.090000152587891,2020-03-18,1.309999942779541,2020-09-25,34.0,225.0,1.8799999952316284
MEDS,MEDS,Pharmaceutical Retailers,13-Feb-20,$6.50,5.900000095367432,11.600000381469727,2020-03-23,4.010000228881836,2020-03-09,39.0,25.0,4.010000228881836
ZGYH,ZGYH,Shell Companies,13-Feb-20,$10.00,9.739999771118164,10.630000114440918,2021-01-13,9.600000381469727,2020-06-02,268.0,43.0,9.600000381469727
NBAC,NBAC,Shell Companies,14-Feb-20,$10.00,9.789999961853027,22.739999771118164,2020-11-25,9.699999809265137,2020-05-01,208.0,0.0,9.699999809265137
ESSC,ESSC,Shell Companies,20-Feb-20,$10.00,9.350000381469727,10.59000015258789,2021-01-06,9.295000076293945,2020-10-30,292.0,224.0,9.295000076293945
ZCMD,ZCMD,Health Information Services,24-Feb-20,$4.00,3.799999952316284,5.25,2020-08-04,1.590000033378601,2020-09-04,161.0,192.0,1.6299999952316284
PASG,PASG,Biotechnology,28-Feb-20,$18.00,22.270000457763672,38.22999954223633,2020-06-24,8.09000015258789,2020-03-18,117.0,19.0,8.09000015258789
GFL,GFL,Waste Management,03-Mar-20,$19.00,17.5,30.219999313354492,2021-01-14,11.920000076293945,2020-04-03,317.0,31.0,11.920000076293945
LSAC,LSAC,n/a,06-Mar-20,$10.00,9.350000381469727,19.850000381469727,2020-12-21,9.350000381469727,2020-05-27,208.0,0.0,9.350000381469727
FEAC,FEAC,n/a,06-Mar-20,$10.00,9.949999809265137,21.270000457763672,2020-12-10,9.8100004196167,2020-04-28,227.0,1.0,9.8100004196167
DFPH,DFPH,Shell Companies,11-Mar-20,$10.00,9.699999809265137,11.869999885559082,2021-01-14,9.699999809265137,2020-06-04,224.0,0.0,9.699999809265137
IMRA,IMRA,Biotechnology,12-Mar-20,$16.00,14.0,62.709999084472656,2020-06-09,12.899999618530273,2021-01-08,89.0,302.0,13.399999618530273
WIMI,WIMI,Advertising Agencies,01-Apr-20,$5.50,6.0,29.5,2020-07-13,3.2049999237060547,2020-06-05,103.0,65.0,3.2049999237060547
ZNTL,ZNTL,Biotechnology,03-Apr-20,$18.00,25.0,61.290000915527344,2020-12-09,22.0,2020-04-07,250.0,4.0,22.0
KROS,KROS,Biotechnology,08-Apr-20,$16.00,20.850000381469727,88.80000305175781,2020-12-08,19.100000381469727,2020-04-08,244.0,0.0,19.100000381469727
IPOC,IPOC,n/a,22-Apr-20,$10.00,10.069999694824219,17.450000762939453,2021-01-04,9.869999885559082,2020-10-30,206.0,140.0,9.869999885559082
ORIC,ORIC,Biotechnology,24-Apr-20,$16.00,26.0,40.810001373291016,2020-12-18,18.600000381469727,2020-09-21,238.0,150.0,18.600000381469727
PCPL,PCPL,Shell Companies,24-Apr-20,$10.00,10.5,11.970000267028809,2021-01-14,9.779999732971191,2020-06-18,213.0,3.0,9.779999732971191
CHAQ,CHAQ,Shell Companies,24-Apr-20,$10.00,9.649999618530273,11.369999885559082,2020-07-09,9.574999809265137,2020-06-22,17.0,0.0,9.574999809265137
IPOB,IPOB,n/a,28-Apr-20,$10.00,10.75,30.600000381469727,2020-12-18,10.550000190734863,2020-08-27,183.0,70.0,10.550000190734863
FVAC,FVAC,n/a,30-Apr-20,$10.00,9.899999618530273,40.7400016784668,2020-12-22,9.779999732971191,2020-06-24,183.0,2.0,9.779999732971191
LYRA,LYRA,Biotechnology,01-May-20,$16.00,22.0,22.0,2020-05-01,8.760000228881836,2020-12-07,0.0,220.0,17.600000381469727
CGRO,CGRO,Shell Companies,01-May-20,$10.00,9.800000190734863,17.75,2020-12-23,9.649999618530273,2020-10-20,177.0,113.0,9.649999618530273
GAN,GAN,Gambling,05-May-20,$8.50,10.649999618530273,28.950000762939453,2020-07-08,10.600000381469727,2020-05-05,64.0,0.0,10.600000381469727
ROCH,ROCH,Shell Companies,05-May-20,$10.00,10.199999809265137,19.0,2021-01-14,9.760000228881836,2020-09-02,183.0,49.0,9.760000228881836
SOAC,SOAC,Shell Companies,06-May-20,$10.00,10.0,12.378000259399414,2021-01-14,9.699999809265137,2020-06-26,202.0,0.0,9.699999809265137
LOAK,LOAK,n/a,06-May-20,$10.00,4.699999809265137,28.1200008392334,2020-12-28,4.699999809265137,2020-05-28,214.0,0.0,4.699999809265137
KC,KC,Software—Application,08-May-20,$17.00,20.3700008392334,49.91999816894531,2020-12-18,17.010000228881836,2020-05-22,224.0,14.0,17.010000228881836
AYLA,AYLA,Biotechnology,08-May-20,$15.00,15.65999984741211,16.5,2020-05-08,8.619999885559082,2020-09-08,0.0,123.0,14.630000114440918
CLEU,CLEU,Education & Training Services,08-May-20,$6.00,5.0,10.460000038146973,2020-08-28,3.4010000228881836,2020-06-01,112.0,24.0,3.4010000228881836
JWS,JWS,Shell Companies,14-May-20,$10.00,5.0,17.43000030517578,2021-01-06,5.0,2020-07-02,188.0,0.0,5.0
GIK,GIK,Shell Companies,14-May-20,$10.00,10.0,17.25200080871582,2021-01-15,9.793999671936035,2020-07-07,197.0,5.0,9.793999671936035
ADCT,ADCT,Biotechnology,15-May-20,$19.00,30.0,56.59000015258789,2020-07-02,25.104999542236328,2020-10-21,45.0,156.0,29.729999542236328
NOVS,NOVS,Shell Companies,15-May-20,$10.00,10.010000228881836,26.690000534057617,2021-01-14,9.609999656677246,2020-06-16,216.0,4.0,9.609999656677246
BMRG,BMRG,n/a,20-May-20,$10.00,9.800000190734863,11.84000015258789,2020-06-25,9.699999809265137,2020-06-03,22.0,0.0,9.699999809265137
SLQT,SLQT,Insurance Brokers,21-May-20,$20.00,26.200000762939453,29.0,2020-06-02,15.760000228881836,2020-07-24,12.0,64.0,25.280000686645508
LGVW,LGVW,Shell Companies,21-May-20,$10.00,10.15999984741211,22.957000732421875,2020-12-24,9.34000015258789,2020-10-13,164.0,92.0,9.34000015258789
NARI,NARI,Medical Devices,22-May-20,$19.00,41.29999923706055,98.08999633789062,2021-01-13,39.54999923706055,2020-05-22,236.0,0.0,39.54999923706055
